Date,Model,TTR,TTFT,TPS,Total,Tokens
04/10/2024,gpt-4-turbo,0.40,0.40,40,2.49,84
04/10/2024,gpt-4-0125-preview,0.46,0.54,14,5.91,78
04/10/2024,gpt-4-1106-preview,0.42,0.52,16,5.66,82
04/10/2024,fixie-westus.azure/gpt-4-1106-preview,0.39,0.39,20,4.32,81
04/10/2024,fixie-openai-sub-with-gpt4.azure/gpt-4-1106-preview,0.51,0.52,11,8.03,87
04/10/2024,gpt-3.5-turbo-0125,0.26,0.34,54,1.32,54
04/10/2024,gpt-3.5-turbo-1106,0.36,0.39,90,1.21,75
04/10/2024,fixie-westus.azure/gpt-3.5-turbo-1106,0.14,0.14,139,0.71,79
04/10/2024,fixie-openai-sub-with-gpt4.azure/gpt-3.5-turbo,0.42,0.42,34,3.32,100
04/10/2024,claude-3-opus-20240229,1.05,1.05,18,4.09,55
04/10/2024,claude-3-sonnet-20240229,0.33,0.34,36,2.97,96
04/10/2024,claude-3-haiku-20240307,0.34,0.35,67,1.82,100
04/10/2024,claude-2.1,0.42,0.42,17,5.11,80
04/10/2024,claude-instant-1.2,0.46,0.46,76,1.74,98
04/10/2024,command-r-plus,0.08,0.16,33,2.33,72
04/10/2024,command-r,0.07,0.14,33,2.70,85
04/10/2024,command-light,0.06,0.14,33,2.29,72
04/10/2024,gemini-pro,0.47,0.70,255,1.08,100
04/10/2024,gemini-1.5-pro-preview-0409,1.18,1.59,114,1.97,45